A분야 					B 급수					C홈페이지				D그룹				E등급관리	
📋 그룹	📁 대분류	📂 중분류	📄 소분류		📋 그룹	📁 대분류	📂 중분류	📄 소분류		📋 그룹	📁 대분류	📂 세부분야		📋 그룹	📁 대분류	📂 중분류		📋 그룹	📁 등급
📂 분야 대중소	문서	비즈니스	사업계획서		🏅 급수 대중소	프롬	교육	1급		🌐 홈페이지	교육	—		🏢 부서	기획	—		🏅 등급	알바
📂 분야 대중소	문서	비즈니스	회사소개		🏅 급수 대중소	프롬	교육	2급		🌐 홈페이지	번역	109개 언어		🏢 부서	홈페이지	—		🏅 등급	신입
📂 분야 대중소	문서	비즈니스	PPT		🏅 급수 대중소	프롬	교육	3급		🌐 홈페이지	통독 문서	A분야 나눔		🏢 부서	영업	—		🏅 등급	강사
📂 분야 대중소	문서	비즈니스	엑셀		🏅 급수 대중소	프롬	교육	4급		🌐 홈페이지	전시회	박물관		🏢 부서	마케팅	—		🏅 등급	팀장
📂 분야 대중소	문서	비즈니스	기획서		🏅 급수 대중소	프롬	교육	5급		🌐 홈페이지	전시회	전시회		🏢 부서	회계	—		🏅 등급	개발
📂 분야 대중소	문서	법률	소송장		🏅 급수 대중소	프롬	교육	6급		🌐 홈페이지	전시회	관광지		🏢 부서	인사	—		🏅 등급	외부
📂 분야 대중소	문서	법률	준비서면		🏅 급수 대중소	프롬	교육	7급		🌐 홈페이지	전문가 매칭	영업전문		🏢 부서	관리	—		🏅 등급	임원
📂 분야 대중소	문서	법률	형사		🏅 급수 대중소	프롬	교육	8급		🌐 홈페이지	시험	—		🏢 부서	상담	—		🏅 등급	대표
📂 분야 대중소	문서	법률	민사		🏅 급수 대중소	프롬	일반	1급		🌐 홈페이지	그외	—		🏢 부서	총무	—			
📂 분야 대중소	문서	의료	—		🏅 급수 대중소	프롬	일반	2급						🏢 부서	개발	—			
📂 분야 대중소	문서	특허	—		🏅 급수 대중소	프롬	일반	3급						🏢 부서	그외	—			
📂 분야 대중소	문서	노무	—		🏅 급수 대중소	프롬	전문	1급						🏢 팀	강사 팀	테솔			
📂 분야 대중소	문서	교재	—		🏅 급수 대중소	프롬	전문	2급						🏢 팀	강사 팀	프롬프트			
📂 분야 대중소	문서	논문	—		🏅 급수 대중소	번역	교육	1급						🏢 팀	강사 팀	AI번역			
📂 분야 대중소	문서	기사	—		🏅 급수 대중소	번역	교육	2급						🏢 팀	강사 팀	윤리			
📂 분야 대중소	문서	고전	—		🏅 급수 대중소	번역	교육	3급						🏢 팀	커리교제 팀	테솔			
📂 분야 대중소	문서	그외	—		🏅 급수 대중소	번역	교육	4급						🏢 팀	커리교제 팀	프롬프트			
📂 분야 대중소	음성	아나운서	—		🏅 급수 대중소	번역	교육	5급						🏢 팀	커리교제 팀	AI번역			
📂 분야 대중소	음성	관광가이드	—		🏅 급수 대중소	번역	교육	6급						🏢 팀	커리교제 팀	윤리			
📂 분야 대중소	음성	큐레이터	—		🏅 급수 대중소	번역	교육	7급						🏢 팀	문제은행 팀	프롬프트			
📂 분야 대중소	음성	안내 방송	—		🏅 급수 대중소	번역	교육	8급						🏢 팀	문제은행 팀	AI번역			
📂 분야 대중소	음성	교육 강의	—		🏅 급수 대중소	번역	일반	1급						🏢 팀	문제은행 팀	윤리			
📂 분야 대중소	음성	실시간	—		🏅 급수 대중소	번역	일반	2급											
📂 분야 대중소	음성	화상수업	—		🏅 급수 대중소	번역	일반	3급											
📂 분야 대중소	영상/SNS	미디어/장르	유튜브		🏅 급수 대중소	번역	전문	1급											
📂 분야 대중소	영상/SNS	미디어/장르	다큐멘터리		🏅 급수 대중소	번역	전문	2급											
📂 분야 대중소	영상/SNS	미디어/장르	영화		🏅 급수 대중소	윤리	교육	1급											
📂 분야 대중소	영상/SNS	미디어/장르	드라마		🏅 급수 대중소	윤리	교육	2급											
📂 분야 대중소	영상/SNS	미디어/장르	예능		🏅 급수 대중소	윤리	교육	3급											
📂 분야 대중소	IT/개발	개발/보안	AI		🏅 급수 대중소	윤리	교육	4급											
📂 분야 대중소	IT/개발	개발/보안	에이전트		🏅 급수 대중소	윤리	교육	5급											
📂 분야 대중소	IT/개발	개발/보안	디비(DB)		🏅 급수 대중소	윤리	교육	6급											
📂 분야 대중소	IT/개발	개발/보안	빅데이터		🏅 급수 대중소	윤리	교육	7급											
📂 분야 대중소	IT/개발	개발/보안	백엔드		🏅 급수 대중소	윤리	교육	8급											
📂 분야 대중소	IT/개발	개발/보안	프론트		🏅 급수 대중소	윤리	일반	1급											
📂 분야 대중소	IT/개발	개발/보안	프로그램		🏅 급수 대중소	윤리	일반	2급											
📂 분야 대중소	IT/개발	디자인/기획	웹모바일 디자인		🏅 급수 대중소	윤리	일반	3급											
📂 분야 대중소	IT/개발	디자인/기획	웹기획		🏅 급수 대중소	윤리	전문	1급											
📂 분야 대중소	IT/개발	디자인/기획	홈페이지 UIUX		🏅 급수 대중소	윤리	전문	2급											
📂 분야 대중소	IT/개발	디자인/기획	컨텐츠																
📂 분야 대중소	창의적활동	콘텐츠	드라마																
📂 분야 대중소	창의적활동	콘텐츠	웹툰소설																
📂 분야 대중소	창의적활동	콘텐츠	소설																
📂 분야 대중소	창의적활동	콘텐츠	시																
📂 분야 대중소	창의적활동	콘텐츠	음악																
📂 분야 대중소	창의적활동	콘텐츠	미술																
📂 분야 대중소	번역	통번역 방식	순차통역																
📂 분야 대중소	번역	통번역 방식	동시통역																
📂 분야 대중소	번역	통번역 방식	음성번역																
📂 분야 대중소	번역	통번역 방식	자가선택																
📂 분야 대중소	프롬프트	—	—																
📂 분야 대중소	확장영역	라이프/전문	암																
📂 분야 대중소	확장영역	라이프/전문	요리																
📂 분야 대중소	확장영역	라이프/전문	재무																
📂 분야 대중소	확장영역	라이프/전문	주식																
📂 분야 대중소	확장영역	라이프/전문	부동산																
📂 분야 대중소	확장영역	라이프/전문	자녀																
📂 분야 대중소	확장영역	라이프/전문	연애																
📂 분야 대중소	확장영역	라이프/전문	입시																
📂 분야 대중소	확장영역	라이프/전문	사주																
📂 분야 대중소	확장영역	라이프/전문	결혼																
📂 분야 대중소	확장영역	라이프/전문	영어																
📂 분야 대중소	확장영역	라이프/전문	직장찾기																
📂 분야 대중소	확장영역	라이프/전문	운동																
📂 분야 대중소	확장영역	라이프/전문	사업																
